id,Candidato,#Hashtags,PersonasMencionadas,Urls,#Palabras,#Retweets
1340126562461523972,Candidato Lucio Gutiérrez,0,20,4,20,20

1340125118316621834,Candidato Lucio Gutiérrez,0,21,4,20,20

1340124748492251137,Candidato Lucio Gutiérrez,0,22,4,23,1

1340123620711026689,Candidato Lucio Gutiérrez,0,23,4,20,20

1340123550502572032,Candidato Lucio Gutiérrez,0,24,4,20,20

1340122566443343872,Candidato Lucio Gutiérrez,0,25,4,20,20

1340122018465914880,Candidato Lucio Gutiérrez,0,26,4,20,20

1340121945837334530,Candidato Lucio Gutiérrez,0,27,4,20,20

1340121581654306816,Candidato Lucio Gutiérrez,0,28,4,20,20

1340121494718963720,Candidato Lucio Gutiérrez,0,29,4,20,20

1340121361130393600,Candidato Lucio Gutiérrez,0,30,4,20,20

1340121285376966656,Candidato Lucio Gutiérrez,0,31,4,20,20

1340120586434064393,Candidato Lucio Gutiérrez,0,32,4,20,20

1340119426935472128,Candidato Lucio Gutiérrez,0,34,4,19,18

1340115465415307264,Candidato Lucio Gutiérrez,0,34,4,19,20

1340092277079851008,Candidato Lucio Gutiérrez,0,35,4,20,4

1340072238511480842,Candidato Lucio Gutiérrez,0,36,4,20,4

1340070348306432001,Candidato Lucio Gutiérrez,0,36,4,19,4

1340039132005974018,Candidato Lucio Gutiérrez,0,36,4,18,0

1340024204192849921,Candidato Lucio Gutiérrez,2,37,4,21,5

1340005268613160960,Candidato Lucio Gutiérrez,3,38,4,21,9

1340001252135096325,Candidato Lucio Gutiérrez,3,38,4,15,0

1340000194713280513,Candidato Lucio Gutiérrez,3,39,4,18,8

1339989691223957506,Candidato Lucio Gutiérrez,3,40,4,22,0

1339980619502247947,Candidato Lucio Gutiérrez,5,41,4,21,5

1339978248017612800,Candidato Lucio Gutiérrez,5,43,4,16,4

1339969643470090240,Candidato Lucio Gutiérrez,5,44,4,18,8

1339962881127886849,Candidato Lucio Gutiérrez,7,45,4,21,5

1339962863444766720,Candidato Lucio Gutiérrez,9,46,4,21,5

1339960521928400898,Candidato Lucio Gutiérrez,11,46,4,19,5

1339952115859468290,Candidato Lucio Gutiérrez,11,48,4,16,4

1339951927455584257,Candidato Lucio Gutiérrez,11,49,4,18,8

1339949840743227392,Candidato Lucio Gutiérrez,11,50,4,18,8

1339910433831051266,Candidato Lucio Gutiérrez,11,51,4,18,8

1339908924804313088,Candidato Lucio Gutiérrez,11,52,4,18,8

1339893431460651009,Candidato Lucio Gutiérrez,11,53,4,19,0

1339887460000653312,Candidato Lucio Gutiérrez,11,54,4,18,8

1339806027408175105,Candidato Lucio Gutiérrez,11,54,4,16,8

1339798363798183937,Candidato Lucio Gutiérrez,11,54,4,18,0

1339744704607490049,Candidato Lucio Gutiérrez,11,55,4,14,4

1339728516624113671,Candidato Lucio Gutiérrez,11,56,4,20,4

1339722345032855558,Candidato Lucio Gutiérrez,11,57,4,20,4

1339722146604593152,Candidato Lucio Gutiérrez,11,58,4,20,4

1339722045760802817,Candidato Lucio Gutiérrez,11,58,4,18,4

1339712053829914626,Candidato Lucio Gutiérrez,11,61,4,10,1

1339711059557531648,Candidato Lucio Gutiérrez,11,68,4,11,1

1339703937620971521,Candidato Lucio Gutiérrez,11,70,4,8,1

1339676630164398081,Candidato Lucio Gutiérrez,11,70,4,14,0

